Year ending December,Postcode,Incidents Recorded
2009,3954,9.0
2009,3956,70.0
2009,3957,5.0
2009,3958,4.0
2009,3959,26.0
2009,3960,71.0
2009,3962,40.0
2009,3964,10.0
2009,3965,13.0
2009,3966,14.0
2009,3967,1.0
2009,3971,185.0
2009,3975,416.0
2009,3976,946.0
2009,3977,3334.0
2009,3978,59.0
2009,3979,5.0
2009,3980,140.0
2009,3981,131.0
2009,3984,170.0
2009,3987,38.0
2009,3988,6.0
2009,3990,1.0
2009,3991,12.0
2009,3992,9.0
2009,3995,781.0
2009,3996,277.0
2010,3000,7163.0
2010,3002,720.0
2010,3003,495.0
2010,3006,2040.0
2010,3008,674.0
2010,3011,2768.0
2010,3012,1298.0
2010,3013,687.0
2010,3015,767.0
2010,3016,862.0
2010,3018,687.0
2010,3019,697.0
2010,3020,4117.0
2010,3021,2985.0
2010,3022,358.0
2010,3023,2700.0
2010,3024,771.0
2010,3025,781.0
2010,3026,357.0
2010,3027,84.0
2010,3028,1579.0
2010,3029,3615.0
2010,3030,3994.0
2010,3031,1733.0
2010,3032,2241.0
2010,3033,430.0
2010,3034,340.0
2010,3036,229.0
2010,3037,1638.0
2010,3038,1515.0
2010,3039,1058.0
2010,3040,1147.0
2010,3041,438.0
2010,3042,1069.0
2010,3043,1171.0
2010,3044,850.0
2010,3045,318.0
2010,3046,1703.0
2010,3047,2760.0
2010,3048,869.0
2010,3049,377.0
2010,3051,1291.0
2010,3052,701.0
2010,3053,1264.0
2010,3054,422.0
2010,3055,485.0
2010,3056,1858.0
2010,3057,540.0
2010,3058,2180.0
2010,3059,352.0
2010,3060,730.0
2010,3061,851.0
2010,3062,107.0
2010,3063,18.0
2010,3064,2241.0
2010,3065,1950.0
2010,3066,1252.0
2010,3067,684.0
2010,3068,1110.0
2010,3070,1496.0
2010,3071,838.0
2010,3072,3358.0
2010,3073,2381.0
2010,3074,1405.0
2010,3075,920.0
2010,3076,2133.0
2010,3078,474.0
2010,3079,647.0
2010,3081,1162.0
2010,3082,1289.0
2010,3083,1280.0
2010,3084,1471.0
2010,3085,394.0
2010,3087,417.0
2010,3088,1216.0
2010,3089,314.0
2010,3090,55.0
2010,3091,25.0
2010,3093,92.0
2010,3094,208.0
2010,3095,759.0
2010,3096,49.0
2010,3097,17.0
2010,3099,122.0
2010,3101,862.0
2010,3102,173.0
2010,3103,416.0
2010,3104,344.0
2010,3105,336.0
2010,3106,291.0
2010,3107,233.0
